0,1,2,3,4,5,6
항목코드,점검항목,중요도,설정이름,설정값,점검결과,권고사항
IIS-01,IIS 서비스 구동 점검,상,,,,불필요한 서비스 중지
IIS-02,IIS 불필요한 파일 제거,상,IIS 7.0,이상,0,불필요한 파일 없음
IIS-03,IIS CGI 실행 제한,상,IIS 6.0,이상,0,해당 취약점에 대한 패치 적용
IIS-04,IIS 링크 사용금지,상,,,,IISlnk 0
IIS-05,IIS 파일 업로드 및 다운로드 제한,상,IIS 7.0,이상,0,Default 제한이 적용
IIS-06,IIS DB 연결 취약점 점검,상,IIS 6.0,이상,0,해당 취약점에 대한 패치 적용
IIS-07,IIS 가상 디렉토리 삭제,상,IIS 7.0,이상,0,가상 디렉터리 미존재함
IIS-08,IIS 데이터 파일 ACL 적용,상,,,,EveryoneAcl 0
IIS-09,IIS 미사용 스크립트 매핑 제거,상,IIS 6.0,이상,0,해당 취약점에 대한 패치 적용
IIS-10,IIS Exec 명령어 쉘 호출 진단,상,IIS 6.0,이상,0,해당 취약점에 대한 패치 적용
IIS-11,IIS WebDAV 비활성화,상,IIS 6.0,이상,0,해당 취약점에 대한 패치 적용
IIS-12,IIS 디렉토리 리스팅 제거,상,,,,DirBrowse 0
IIS-13,IIS 상위 디렉토리 접근 금지,상,,,,AspEnableParentPaths 0
